SEMANA RECIBIDO;FECHA RECIBIDO;ORIGEN;TIPO DE ERROR; UNIDAD ERROR;BULTOS;UNIDADES;COSTO TOTAL
SEM-14;1/4/2026;ENTRADA COPAN-AEC;;0;2;9;L1,440.15
SEM-14;1/4/2026;PROGRESO #1-AEC;;0;12;805;L26,095.10
SEM-14;1/4/2026;PROGRESO #1-AEC;SOBRANTE ;7;2;957;L10,897.71
SEM-14;2/4/2026;MAYOREO MEGACARPA-AEC;;0;1;15;L2,760.38
SEM-14;2/4/2026;OLANCHITO-AEC;;0;1;13;L318.60
SEM-14;2/4/2026;TEGUCIGALPA AEC;;0;4;176;L13,049.81
SEM-15;6/4/2026;COMAYAGUA-AEC;;0;3;76;L12,599.01
SEM-15;6/4/2026;EL PARAISO AEC;;0;7;64;L10,208.83
SEM-15;6/4/2026;GRACIAS  #1-AEC;;0;1;13;L1,565.15
SEM-15;6/4/2026;MARCALA-AEC;;0;3;53;L8,955.00
SEM-15;6/4/2026;MAYOREO SPS-AEC;;0;7;153;L19,678.01
SEM-15;6/4/2026;MEGATIENDA-AEC;;0;3;50;L7,702.40
SEM-15;6/4/2026;MEGATIENDA-AEC;SOBRANTE ;1;1;30;L1,725.91
SEM-15;6/4/2026;OLANCHITO-AEC;;0;1;88;L3,193.41
SEM-15;6/4/2026;PROGRESO #1-AEC;;0;1;5;L266.86
SEM-15;6/4/2026;PUERTO CORTES-AEC;;0;2;97;L2,966.01
SEM-15;6/4/2026;SAN JUAN-AEC;;0;12;831;L143,037.77
SEM-15;6/4/2026;SAN PEDRO SULA-AEC;;0;6;143;L22,196.27
SEM-15;6/4/2026;SIGUATEPEQUE-AEC;;0;1;2;L30.17
SEM-15;6/4/2026;SONAGUERA-AEC;;0;5;368;L35,409.83
SEM-15;6/4/2026;SPS TERMINAL-AEC;;0;2;100;L16,327.05
SEM-15;6/4/2026;TALANGA AEC;;0;1;97;L15,480.66
SEM-15;7/4/2026;COMAYAGUELA-AEC;;0;11;529;L82,897.51
SEM-15;7/4/2026;COMAYAGUELA-AEC;SOBRANTE ;4;4;375;L58,218.14
SEM-15;7/4/2026;DE TODO PARA TODOS;;0;1;12;L1,843.40
SEM-15;7/4/2026;DE TODO PARA TODOS;SOBRANTE ;1;1;38;L6,272.65
SEM-15;7/4/2026;INTIBUCA-AEC;;0;2;66;L11,298.65
SEM-15;7/4/2026;LA PAZ-AEC;;0;1;46;L7,349.10
SEM-15;7/4/2026;MAYOREO COMAYAGUELA  AEC;;0;5;326;L41,806.65
SEM-15;7/4/2026;MAYOREO PLAZA DEL SOL 2-AEC;;0;2;102;L16,889.58
SEM-15;7/4/2026;SAN JUAN-AEC;;0;2;108;L19,427.23
SEM-15;7/4/2026;TELA-AEC;;0;9;696;L52,103.36
SEM-15;7/4/2026;TELA-AEC;SOBRANTE ;1;1;50;L3,917.23
SEM-15;8/4/2026;AEC-CUCUYAGUA;;0;1;12;L1,950.77
SEM-15;8/4/2026;CHOLUTECA-AEC;;0;3;102;L15,626.98
SEM-15;8/4/2026;DE TODO PARA TODOS;;0;3;353;L5,538.22
SEM-15;8/4/2026;ENTRADA COPAN-AEC;;0;3;107;L16,875.24
SEM-15;8/4/2026;GRACIAS  #1-AEC;;0;8;161;L21,100.74
SEM-15;8/4/2026;GRACIAS #2-AEC;;0;5;357;L52,161.09
SEM-15;8/4/2026;GRACIAS #2-AEC;SOBRANTE ;1;1;113;L17,974.06
SEM-15;8/4/2026;JESUS DE OTORO-AEC;;0;4;208;L29,009.69
SEM-15;8/4/2026;JESUS DE OTORO-AEC;SOBRANTE ;1;1;45;L6,153.34
SEM-15;8/4/2026;LAS VEGAS-AEC;;0;4;158;L25,759.61
SEM-15;8/4/2026;LAS VEGAS-AEC;FALTANTE ;1;1;26;L3,249.31
SEM-15;8/4/2026;LAS VEGAS-AEC;SOBRANTE ;1;1;31;L4,829.87
SEM-15;8/4/2026;MAYOREO SPS-AEC;;0;2;33;L9,417.28
SEM-15;8/4/2026;PEÑA BLANCA AEC;;0;2;46;L5,410.30
SEM-15;8/4/2026;PEÑA BLANCA AEC;SOBRANTE ;1;1;27;L4,332.63
SEM-15;8/4/2026;SABA-AEC;;0;2;111;L13,802.84
SEM-15;8/4/2026;SAN MARCOS AEC;;0;12;460;L74,142.54
SEM-15;8/4/2026;SAN MARCOS AEC;SOBRANTE ;2;2;122;L17,469.93
SEM-15;8/4/2026;SPS TERMINAL-AEC;;0;3;483;L8,051.66
SEM-15;8/4/2026;TEGUCIGALPA AEC;;0;4;515;L5,761.58
SEM-15;8/4/2026;TEGUCIGALPA AEC;SOBRANTE ;4;3;477;L5,080.21
SEM-15;9/4/2026;CATACAMAS-AEC;;0;7;430;L74,103.27
SEM-15;9/4/2026;CATACAMAS-AEC;SOBRANTE ;2;2;167;L28,701.71
SEM-15;9/4/2026;DANLI #1-AEC;;0;6;115;L16,550.53
SEM-15;9/4/2026;DANLI #2-AEC;;0;11;668;L18,574.92
SEM-15;9/4/2026;DANLI #2-AEC;SOBRANTE ;3;1;76;L784.14
SEM-15;9/4/2026;GUAIMACA-AEC;;0;14;758;L129,308.55
SEM-15;9/4/2026;MARCALA-AEC;;0;2;75;L7,485.67
SEM-15;9/4/2026;SAN ESTEBAN -AEC;;0;5;163;L26,090.33
SEM-15;10/4/2026;MEGABODEGA-AEC;;0;1;54;L2,726.05
SEM-15;10/4/2026;MORAZAN #1-AEC;;0;1;40;L6,352.28
SEM-15;10/4/2026;MORAZAN #2-AEC;;0;17;1818;L189,013.37
SEM-15;10/4/2026;MORAZAN #2-AEC;FALTANTE ;1;1;127;L18,439.44
SEM-15;10/4/2026;MORAZAN #2-AEC;SOBRANTE ;7;4;433;L54,551.46
SEM-15;10/4/2026;OLANCHITO-AEC;;0;3;175;L19,441.17
SEM-15;10/4/2026;PUERTO CORTES-AEC;;0;1;50;L3,641.65
SEM-15;10/4/2026;SAN JUAN, INTIBUCA;;0;1;11;L1,819.02
SEM-15;10/4/2026;SIGUATEPEQUE-AEC;;0;1;37;L6,118.99
SEM-15;11/4/2026;CAMPAMENTO-AEC;;0;2;34;L7,642.09
SEM-15;11/4/2026;CATACAMAS-AEC;;0;1;44;L7,878.59
SEM-15;11/4/2026;GRACIAS #2-AEC;;0;5;202;L30,760.20
SEM-15;11/4/2026;MAYOREO PROGRESO #2 -AEC;;0;5;374;L23,576.43
SEM-15;11/4/2026;MAYOREO PROGRESO #2 -AEC;SOBRANTE ;12;2;222;L14,163.41
SEM-15;11/4/2026;SAN LORENZO-AEC;;0;7;101;L13,900.74
SEM-15;11/4/2026;SAN LORENZO-AEC;SOBRANTE ;1;1;47;L8,067.03
SEM-15;11/4/2026;SAN MARCOS AEC;;0;2;30;L3,545.35
SEM-15;11/4/2026;SAN MARCOS AEC;SOBRANTE ;6;2;136;L19,886.33
SEM-16;13/4/2026;COMAYAGUELA-AEC;;0;6;117;L18,294.78
SEM-16;13/4/2026;DANLI #2-AEC;;0;3;55;L2,166.59
SEM-16;13/4/2026;DE TODO PARA TODOS;;0;3;198;L3,772.76
SEM-16;13/4/2026;INTIBUCA-AEC;;0;1;10;L1,233.67
SEM-16;13/4/2026;JESUS DE OTORO-AEC;;0;1;49;L8,793.55
SEM-16;13/4/2026;LA CEIBA EDIFICIO-AEC;;0;3;72;L11,962.28
SEM-16;13/4/2026;MAYOREO CEIBA EDIFICIO-AEC;;0;8;90;L11,696.22
