SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;1/4/2025;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS HOGAR;;;1;175
14;1/4/2025;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS HOGAR;;;3;303
14;1/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;;;2;214
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;CALZADO;;;2;24
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;CUIDADO PERSONAL;;;9;36
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;DEPORTIVA;;;3;57
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;GOLOSINAS;;;4;384
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;HOGAR;;;4;131
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;ROPA;;;2;198
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CAMPAMENTO-AEC;VERANO;;;2;21
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CATACAMAS-AEC;BEBE;;;4;11
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CATACAMAS-AEC;BELLEZA;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CATACAMAS-AEC;CALZADO;;;5;78
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CATACAMAS-AEC;CUIDADO PERSONAL;;;21;250
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CATACAMAS-AEC;DEPORTIVA;;;6;84
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;CATACAMAS-AEC;GOLOSINAS;;;2;160
