SEMANA;Fecha Envio;PROVEEDOR;Origen;TIENDA;Division;BULTOS;UNIDADES
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;ACCESORIOS;0.83;180
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;BEBE;0.50;42
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;BELLEZA;2.83;418
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;CALZADO PLASTICO;2.00;102
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;CUIDADO PERSONAL;41.00;692
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;DEPORTIVA;0.50;3
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;DS INTERIOR;0.50;50
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;DS ROPA;8.50;1,083
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;ESCOLAR;0.50;60
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;HOGAR;12.50;197
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;INTERIOR DETALLE;2.00;537
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;PASEO;2.00;3
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;PROMOCION-PRODUCCION;1.00;48
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;ROPA;0.50;29
14;1/4/2026;INTERNO;BODEGA DANILOS;LA CEIBA-DS;TECNOLOGIA;0.33;24
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;ACCESORIOS;0.83;111
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;BELLEZA;2.83;195
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;CALZADO PLASTICO;2.00;126
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;CUIDADO PERSONAL;19.00;303
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;DEPORTIVA;0.50;12
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;DS HOGAR;1.00;56
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;DS ROPA;6.00;973
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;HOGAR;3.00;15
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;INTERIOR DETALLE;0.50;455
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;PASEO;1.00;1
14;1/4/2026;INTERNO;BODEGA DANILOS;LA VITRINA-SABA;TECNOLOGIA;0.33;6
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;ACCESORIOS;0.83;221
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;BEBE;1.00;51
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;BELLEZA;2.33;284
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;CALZADO;0.50;6
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;CALZADO PLASTICO;1.50;102
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;CUIDADO PERSONAL;55.50;967
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;DEPORTIVA;1.50;19
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;DS HOGAR;2.00;136
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;DS INTERIOR;2.00;170
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;DS ROPA;5.50;389
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;DS VERANO;0.50;24
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;GOLOSINAS;1.00;300
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;HOGAR;9.00;139
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;PASEO;5.00;7
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;PROMOCION-PRODUCCION;1.00;48
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;ROPA;2.50;148
14;1/4/2026;INTERNO;BODEGA DANILOS;MEGACARPA EL PROGRESO-DS;TECNOLOGIA;0.33;6
14;1/4/2026;INTERNO;BODEGA DANILOS;OLANCHITO-DS;BELLEZA;0.50;10
14;1/4/2026;INTERNO;BODEGA DANILOS;OLANCHITO-DS;CUIDADO PERSONAL;3.50;140
14;1/4/2026;INTERNO;BODEGA DANILOS;OLANCHITO-DS;GOLOSINAS;1.00;144
14;1/4/2026;INTERNO;BODEGA DANILOS;OLANCHITO-DS;HOGAR;3.00;41
14;1/4/2026;INTERNO;BODEGA DANILOS;OLANCHITO-DS;ROPA;1.00;49
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;BELLEZA;3.00;312
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;CALZADO PLASTICO;1.00;54
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;CUIDADO PERSONAL;52.00;577
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;GOLOSINAS;1.00;144
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;HOGAR;10.00;164
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;INTERIOR DETALLE;0.50;461
14;1/4/2026;INTERNO;BODEGA DANILOS;SABA-DS;ROPA;1.00;28
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;ACCESORIOS;2.00;135
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;BELLEZA;2.00;174
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;CUIDADO PERSONAL;18.00;129
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;DS HOGAR;10.00;237
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;DS ROPA;2.00;61
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;HOGAR;6.00;47
14;1/4/2026;INTERNO;BODEGA DANILOS;SONAGUERA-DS;INTERIOR DETALLE;1.00;213
14;1/4/2026;INTERNO;MEGABODEGA AEC;CEIBA MAYOREO-AEC;ACCESORIOS;1.50;384
14;1/4/2026;INTERNO;MEGABODEGA AEC;CEIBA MAYOREO-AEC;CUIDADO PERSONAL;4.00;96
14;1/4/2026;INTERNO;MEGABODEGA AEC;CEIBA MAYOREO-AEC;DEPORTIVA;1.00;12
14;1/4/2026;INTERNO;MEGABODEGA AEC;CEIBA MAYOREO-AEC;HOGAR;25.00;564
14;1/4/2026;INTERNO;MEGABODEGA AEC;CEIBA MAYOREO-AEC;INTERIOR DETALLE;9.50;6,780
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;ACCESORIOS;2.50;155
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;BEBE;2.00;4
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;BELLEZA;4.50;313
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;CALZADO;4.50;78
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;CALZADO PLASTICO;0.50;78
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;CUIDADO PERSONAL;38.00;698
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;DEPORTIVA;1.33;15
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;GOLOSINAS;1.00;144
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;HOGAR;19.33;401
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;INTERIOR DETALLE;3.00;978
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;PACER;2.00;351
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;PASEO;12.00;12
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;ROPA;4.00;348
14;1/4/2026;INTERNO;MEGABODEGA AEC;CHOLUTECA-AEC;VERANO;1.33;4
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;ACCESORIOS;5.75;941
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;BEBE;4.00;9
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;BELLEZA;6.75;1,352
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;CALZADO;3.00;66
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;CALZADO PLASTICO;2.00;108
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;CELEBRACIONES;0.25;12
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;CUIDADO PERSONAL;96.00;1,901
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;DEPORTIVA;3.33;81
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;ESCOLAR;0.83;84
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;HOGAR;30.00;590
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;INTERIOR DETALLE;9.00;2,813
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;JUGUETERIA;1.00;6
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;PACER;2.00;438
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;PASEO;13.00;14
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;ROPA;6.33;635
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;TECNOLOGIA;0.25;34
14;1/4/2026;INTERNO;MEGABODEGA AEC;LA CEIBA-AEC;VERANO;2.50;4
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;ACCESORIOS;1.00;6
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;HOGAR;26.00;64
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;INTERIOR DETALLE;1.00;800
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO MEGACARPA-AEC;ROPA;1.00;36
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO OLANCHITO-AEC;ACCESORIOS;1.00;102
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO OLANCHITO-AEC;CUIDADO PERSONAL;6.00;40
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO OLANCHITO-AEC;HOGAR;26.00;594
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO OLANCHITO-AEC;INTERIOR DETALLE;5.00;3,504
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;CUIDADO PERSONAL;1.00;12
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;HOGAR;22.00;654
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;INTERIOR DETALLE;6.00;4,092
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO PROGRESO #2-AEC;PACER;1.00;270
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;ACCESORIOS;0.50;36
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;BELLEZA;1.50;438
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;CUIDADO PERSONAL;4.50;66
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;HOGAR;5.00;174
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;INTERIOR DETALLE;12.50;8,964
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;PACER;2.00;300
14;1/4/2026;INTERNO;MEGABODEGA AEC;MAYOREO SPS-AEC;ROPA;5.00;798
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;ACCESORIOS;0.75;375
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;BEBE;2.25;28
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;BELLEZA;3.25;933
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;CALZADO;0.50;13
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;CALZADO PLASTICO;0.50;54
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;CELEBRACIONES;1.00;420
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;CUIDADO PERSONAL;23.50;953
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;DEPORTIVA;1.83;18
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;ESCOLAR;0.25;12
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;GOLOSINAS;1.00;144
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;HOGAR;10.83;464
14;1/4/2026;INTERNO;MEGABODEGA AEC;OLANCHITO-AEC;INTERIOR DETALLE;2.00;540
