SEMANA;Date;TIENDA;Division;UNIDADES
14;1/4/2026 00:00;AEC TOCOA MAYOREO;BELLEZA;12
14;1/4/2026 00:00;AEC TOCOA MAYOREO;CUIDADO PERSONAL;30
14;1/4/2026 00:00;AEC TOCOA MAYOREO;HOGAR;27
14;1/4/2026 00:00;AEC TOCOA MAYOREO;INTERIOR DETALLE;388
14;1/4/2026 00:00;AEC TOCOA MAYOREO;VERANO;9
14;1/4/2026 00:00;AEC-CUCUYAGUA;ACCESORIOS;215
14;1/4/2026 00:00;AEC-CUCUYAGUA;BEBE;9
14;1/4/2026 00:00;AEC-CUCUYAGUA;BELLEZA;186
14;1/4/2026 00:00;AEC-CUCUYAGUA;CALZADO;44
14;1/4/2026 00:00;AEC-CUCUYAGUA;CALZADO PLASTICO;33
14;1/4/2026 00:00;AEC-CUCUYAGUA;CELEBRACIONES;18
14;1/4/2026 00:00;AEC-CUCUYAGUA;CUIDADO PERSONAL;178
14;1/4/2026 00:00;AEC-CUCUYAGUA;DEPORTIVA;10
14;1/4/2026 00:00;AEC-CUCUYAGUA;ESCOLAR;7
14;1/4/2026 00:00;AEC-CUCUYAGUA;GOLOSINAS;24
14;1/4/2026 00:00;AEC-CUCUYAGUA;HOGAR;172
14;1/4/2026 00:00;AEC-CUCUYAGUA;INTERIOR DETALLE;243
14;1/4/2026 00:00;AEC-CUCUYAGUA;JUGUETERIA;28
14;1/4/2026 00:00;AEC-CUCUYAGUA;PACER;16
14;1/4/2026 00:00;AEC-CUCUYAGUA;PASEO;2
14;1/4/2026 00:00;AEC-CUCUYAGUA;PROMOCION-PRODUCCION;1
14;1/4/2026 00:00;AEC-CUCUYAGUA;ROPA;176
14;1/4/2026 00:00;AEC-CUCUYAGUA;SUPERMERCADO;24
14;1/4/2026 00:00;AEC-CUCUYAGUA;TECNOLOGIA;7
14;1/4/2026 00:00;AEC-CUCUYAGUA;VERANO;19
14;1/4/2026 00:00;AEC-TOCOA #1;ACCESORIOS;310
14;1/4/2026 00:00;AEC-TOCOA #1;BEBE;16
14;1/4/2026 00:00;AEC-TOCOA #1;BELLEZA;307
14;1/4/2026 00:00;AEC-TOCOA #1;CALZADO;29
14;1/4/2026 00:00;AEC-TOCOA #1;CALZADO PLASTICO;33
14;1/4/2026 00:00;AEC-TOCOA #1;CELEBRACIONES;15
14;1/4/2026 00:00;AEC-TOCOA #1;CUIDADO PERSONAL;246
14;1/4/2026 00:00;AEC-TOCOA #1;DEPORTIVA;15
14;1/4/2026 00:00;AEC-TOCOA #1;ESCOLAR;19
14;1/4/2026 00:00;AEC-TOCOA #1;GOLOSINAS;11
14;1/4/2026 00:00;AEC-TOCOA #1;HOGAR;130
14;1/4/2026 00:00;AEC-TOCOA #1;INTERIOR DETALLE;295
